id,text,created_at
1162427062403162112,@no_good_dog @BertShowBert Hi Lawrence – it's up to the insurance company to decide if they'll count it towards a p… https://t.co/fKZYBW7DJB,2019-08-16 18:13:03
1205533221250830336,"Top 15 'emerging jobs' for 2020 led by AI, data science, behavioral health &gt; https://t.co/db6EvNsE1X",2019-12-13 17:01:32
1208514990258429954,"RT @brittanylynne8: And the driver was definitely taken care of, like what kind of person do you people think I am, goodness, 
ITS THE HOLI…",2019-12-21 22:30:01
1201762308650946560,"Minnesota adds chronic pain, macular degeneration to medical cannabis program https://t.co/hDetoRVDoF",2019-12-03 07:17:16
1211416336695537668,"@QualiaRedux @snarkbat IEPs are a thing under US law too, but... if you were deemed ""gifted"" a lot of US schools ju… https://t.co/07O8Q13KDl",2019-12-29 22:38:56
1206624914146562054,Rockin the wheelchair today! Hospital appointments and more exploring. Have a wonderful day everybody! Only you put… https://t.co/K3jcKMpj29,2019-12-16 17:19:32
1210006752344911872,Good stuff Dr. Makary. As you have learned and are explaining- incentives matter.  The codified and price setting p… https://t.co/mTQZP7lZp7,2019-12-26 01:17:45
1211171567905824768,"Bill Palmer 🖋️
https://t.co/UVKO3JtGAJ",2019-12-29 06:26:18
1205217504043438081,"As major health insurance companies are getting into the business of owning primary care practices, Anthem is pursi… https://t.co/ThVIoTrOV5",2019-12-12 20:06:59
1209791824732262401,"RT @jamesdeeganMC: I hope Santa has been good to you all. Enjoy the day, eat, drink and be Merry. Raise a glass to absent friends, until Va…",2019-12-25 11:03:42
1207670338684903429,"RT @Alhamdhulillaah: You know you love someone, when you pray for them more than you pray for yourself.",2019-12-19 14:33:40
1210796095430770693,Russia appeals World Anti-Doping Agency for four-year sports suspension  https://t.co/dmFQl3zI0R,2019-12-28 05:34:19
1202331561594621954,ANOTHER CLOWN TAKING CHEAP SHOTS AT OUR PRESIDENT WHEN HE CANNOT EVEN TAKE CARE OF HIS OWN COUNTRY https://t.co/8hyuiMZadP,2019-12-04 20:59:17
1209500478087802880,The latest mHealth Advocate! https://t.co/psS1UFIrcP #mhealth #digitalhealth,2019-12-24 15:46:00
1205847603797266433,RT @ZaynaKhayat: @nickdawson @lucienengelen started a Pinterest board where we curate examples of citizens hacking their health tools https…,2019-12-14 13:50:46
1209450601211408384,"RT @LizaRosen101: This Christian father, Manochehr Bakhtiari, is being tortured in prison by Iranian regime, after speaking out about the d…",2019-12-24 12:27:48
1203406850332528646,RT @JasonIsbell: Chris is a good guy and clearly he’s done country music a great service but damn that’s a lot of pressure https://t.co/BOG…,2019-12-07 20:12:05
1209597507614978048,"Unwanted fat is definitely unhealthy in support of our physical shape, some of the worries revealed on this  online… https://t.co/GniErQcvB0",2019-12-24 22:11:33
1208093786049564672,@Smashbox No #BlackFriday discount is worth the hellish online shopping experience you subject your customers to. R… https://t.co/YevZlHv3CD,2019-12-20 18:36:18
1205628928553078784,Just received an over-the-top cool gift from one of my customers (and friend!). @NTLogisticsInc for the win this ho… https://t.co/Y3kc2plSwQ,2019-12-13 23:21:50
1201051930652336129,"RT @istevejansen: 'Corridor' was composed for a gallery space in Canada where I had a small photo exhibit last year.

I hope you feel bette…",2019-12-01 08:14:29
1208144341362991106,"@robertcottrell Risk aversion:
How did you promise or guarantee article quality?
Did you offer refunds for disliked… https://t.co/zpovMwIHCg",2019-12-20 21:57:11
1208087193341833216,⭐Congratulations to StartUp Health company @NuEyesUSA on being selected for the 2020 @MassChallenge HealthTech coho… https://t.co/gD3daoZ17w,2019-12-20 18:10:06
1209260810343788545,"@TulsiGabbard Sorry, Tulsi...

@realDonaldTrump is the least of your problems right now. https://t.co/cQzQXcnQt5",2019-12-23 23:53:38
1202961454158270465,Not to mention all the other medications people with chronic conditions might need that insurances might abruptly t… https://t.co/nwuzoinsbk,2019-12-06 14:42:15
1203921745909936128,@queerschtein I've luckily never had a bad experience (the worst was just... genuine reactions to scenes even thoug… https://t.co/JVwXxa4uPK,2019-12-09 06:18:06
1208171366454898688,this band that saved my life is a band again and for the first time in my life i can say there's a reasonable chanc… https://t.co/NbkXoA9USA,2019-12-20 23:44:35
1126137139287207937,@JuliusGivens Thanks for your kind words @JuliusGivens! We've taken them to heart and will continue to do everythin… https://t.co/v2LACqhago,2019-05-08 14:49:51
1202328320517369856,"RT @Phe800: At the pharmacy:
Multiple times a day I have patients leave empty handed after they are told the price of their drug. And these…",2019-12-04 20:46:24
1205292899258159104,"RT @Mimirocah1: Because, Joyce, Russia doesn’t have a corruption problem the way Ukraine does 🤣🙄😠 https://t.co/JNENtiP24o",2019-12-13 01:06:35
1040659694484967430,"After a cancer diagnosis, families that talk and listen to each other experience better health outcomes than those… https://t.co/6D8yWXrXmp",2018-09-14 17:53:00
1203855593544531968,"The #eagles landed in our neighborhood today. #American Bald Eagle 🇺🇸, majestic, loyal beauty. https://t.co/zb9b0VYz60",2019-12-09 01:55:14
1211394049636274178,The Decades Health Care Winners and Losers  https://t.co/ASEwT8mkxC,2019-12-29 21:10:22
1203035805654159365,"The latest ""Say What?!?!"" https://t.co/1WT3oL7oNy Thanks to @LaborforSPayer @Isarizona @Teamsters #climate #vancouver",2019-12-06 19:37:42
1201653895254159360,"RT @310Nutrition: Haven't ditched soda yet? Here's 6 Reasons to motivate you today (Diet Soda Included)!
https://t.co/Dm4fhMOFyi",2019-12-03 00:06:28
1205256176188960771,"RT @Hughhbw: Hello Prerana! NHS staff have been excluded after raising valid concerns, typically about patient safety. Outline views on cha…",2019-12-12 22:40:39
1204241123964792833,@BigBoobiesAngie @HotnsxyJessie Wow I love it babe yumeeeeeeeeeee delicious ♥️😈😍🌹🥰,2019-12-10 03:27:12
1210401278439907328,@palmd Triad drugs? No problem. Few days early? No big deal. Subutex for chronic pain? Well.... doc signed the form… https://t.co/LpPLSKwqWl,2019-12-27 03:25:27
1208810038854217728,"Love yourself, be yourself! ""There's no one I'd rather be than me."" Wreck-It Ralph #try https://t.co/hHFuYZumP3",2019-12-22 18:02:26
1205556529665056770,Could fish oil fight inflammation? https://t.co/ul55a03wV1,2019-12-13 18:34:09
1206671528106057733,"RT @LALewman: Rep. Dean to colleagues in Congress: ""If you're here only to save your seat, if your vote only reflects self-preservation, I'…",2019-12-16 20:24:45
1206225752875814912,@MonicaNinoTV @KENS5 Congratulations!,2019-12-15 14:53:24
1173301017720606728,@PillPack Too much plastic!,2019-09-15 18:22:16
1202802259450617862,"@DougEParker @StephenTatenda @SalsanRio @BoxyBate @vector1928 @dacullington @Acosta Trust me, I'm no moron...  But… https://t.co/6flhnoznTv",2019-12-06 04:09:40
653931475914637312,@craiggwillis Looks great! Thanks for sharing.,2015-10-13 13:53:07
1202044061072445441,My inhaler with insurance? $75. My EpiPens with insurance? $250. Depression screening where they legit ask if I wan… https://t.co/vd1yigTGW7,2019-12-04 01:56:51
1207815671737995266,Huge shout out to @TSA officer at Cleveland airport. I knew the X-ray scanner was going to light up from my compres… https://t.co/T1D7MTVVv4,2019-12-20 00:11:10
1207020338409885696,@Kbooki @PandezPanda @Firr XD Well thank god for that.,2019-12-17 19:30:48
1200974003420254208,"RT @kkwhbs: It could be these Frescas aka Bud Light Limes talking but, these camera angles on the OU / Okie state game ..... thanks @CFBONF…",2019-12-01 03:04:50
1206487365411360768,"RT @jenheemstra: No matter where someone is in their career, almost everyone feels like they haven’t made it yet and there are big goals th…",2019-12-16 08:12:58
1208055129980723203,Jesus Christ...😡 https://t.co/ICG6gHqpTF,2019-12-20 16:02:42
841400988670021633,Lori La Bey founded @AlzSpks to challenge the #stigma surrounding #Dementia https://t.co/gTzeUNUGky  #caregiver https://t.co/1MnpYluIMT,2017-03-13 21:30:02
1204602962795991040,RT @SteveLiewer: Congress gets a #Defense authorization bill passed. Includes $400 million for post-flood reconstruction @Offutt_AFB and @N…,2019-12-11 03:25:01
1204282318447370240,RT @RWPUSA: Bill Barr would like to argue about religion — which should be entirely separate from our government — instead of comply with H…,2019-12-10 06:10:53
1200964349940183040,RT @LordFenrir: D&amp;D with the Drunk Badger Crew was awesome!  Can't wait til next session!  Thanks @AhnaHyouki @BongoLaserworks @Kbooki @Min…,2019-12-01 02:26:28
